Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Absolute,-,34.99212711,34.53112634,34.38685632,34.44406686,34.44406686,34.41546159,34.37255368,34.42307928,34.4662981,34.53112634,34.55273575,34.59595457,34.61756398,34.63917339,34.6607828,34.6607828,34.68239222
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Absolute|Land area weighted,-,35.99404449,35.51576667,35.36503646,35.42228442,35.42228442,35.39366044,35.35072447,35.4036703,35.44850885,35.51576667,35.53818594,35.58302448,35.60544376,35.62786303,35.6502823,35.6502823,35.67270158
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Absolute|Population weighted,-,59.33977139,58.89733814,58.86036673,59.09416671,59.21956319,59.27814985,59.31142475,59.4692231,59.62491323,59.78667801,59.88836027,59.99532002,60.07183752,60.13337124,60.19526118,60.20501828,60.24678709
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Difference,%,38.06160703,47.56390831,51.69128713,52.8193188,52.8193188,52.25530297,51.40927921,49.79101018,48.90016943,47.56390831,47.11848794,46.2276472,45.78222682,45.33680645,44.89138608,44.89138608,44.44596571
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Difference|Land area weighted,%,35.64326206,44.32589514,48.12313227,49.20563173,49.20563173,48.664382,47.85250741,46.36088726,45.54689041,44.32589514,43.91889671,43.10489986,42.69790143,42.29090301,41.88390458,41.88390458,41.47690616
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Difference|Population weighted,%,15.53037519,27.65970323,31.38904494,30.64522293,29.58073839,28.44178146,27.2250619,24.78693806,22.99365124,20.89684233,19.7523002,18.33990099,17.38236497,16.56613643,15.77279932,15.44419129,14.75964785
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Risk score,risk score,1.263735974,1.283064927,1.312072559,1.355591109,1.355591109,1.333831834,1.301192921,1.28759515,1.285783061,1.283064927,1.282158882,1.280346793,1.279440748,1.278534704,1.277628659,1.277628659,1.276722614
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Risk score|Land area weighted,risk score,1.280462027,1.296174793,1.323624249,1.366738586,1.366738586,1.345181418,1.312845665,1.299857473,1.298384401,1.296174793,1.295438257,1.293965186,1.29322865,1.292492114,1.291755578,1.291755578,1.291019042
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity (Runoff)|Hazard|Risk score|Population weighted,risk score,1.987005364,1.97252568,1.994893771,2.052061763,2.050458438,2.020201965,1.975835039,1.963430916,1.964597247,1.966865779,1.967083234,1.968502937,1.968845355,1.969201793,1.969605998,1.968696681,1.969073403
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Exposure|Land area,km2,2574540.925,2924980.56,3069546.103,3095847.462,3095847.462,3082696.783,3062970.763,3007114.85,2974261.134,2924980.56,2908553.702,2875699.986,2859273.128,2842846.271,2826419.413,2826419.413,2809992.555
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Exposure|Land area|%,%,8.339940855,9.475151333,9.943455436,10.02865578,10.02865578,9.98605561,9.922155349,9.741216289,9.634790306,9.475151333,9.421938342,9.31551236,9.262299368,9.209086377,9.155873386,9.155873386,9.102660395
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Exposure|Population,people,189681713.9,223256582.7,254931011.2,289113092.2,316844555.8,340543862.5,361496114,382201709.1,405617394.4,424760550.9,445050498.8,460399671.3,476332137.4,487439920.5,498568399.2,505241223.3,511406590.6
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Exposure|Population|%,%,14.14637855,14.76560227,15.13613424,15.47544774,15.43176581,15.21640352,14.91594521,14.73431185,14.67031954,14.59252893,14.55817347,14.51274649,14.48766204,14.46931277,14.45234803,14.45254626,14.4384176
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Absolute,-,536.2777073,527.0620753,523.834996,524.2925615,524.2925615,524.0637787,523.7206046,524.9021615,525.766127,527.0620753,527.494058,528.3580235,528.7900063,529.2219891,529.6539718,529.6539718,530.0859546
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Absolute|Land area weighted,-,548.898316,539.4746538,536.1723088,536.6353653,536.6353653,536.403837,536.0565447,537.265983,538.1494513,539.4746538,539.916388,540.7998563,541.2415905,541.6833246,542.1250588,542.1250588,542.566793
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Absolute|Population weighted,-,1227.15099,1186.29063,1168.675168,1167.191336,1164.947651,1163.962315,1162.745275,1167.025133,1169.909014,1174.700087,1176.449527,1180.37784,1182.806553,1185.888995,1188.956524,1190.526214,1193.525981
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Difference,%,6.371230576,8.366081589,9.287192633,9.633276464,9.633276464,9.460234548,9.200671676,8.833624795,8.646607512,8.366081589,8.272572947,8.085555665,7.992047024,7.898538383,7.805029741,7.805029741,7.7115211
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Difference|Land area weighted,%,5.997189059,7.730199198,8.542089711,8.866113134,8.866113134,8.704101423,8.461083856,8.136373449,7.973903749,7.730199198,7.648964348,7.486494647,7.405259797,7.324024947,7.242790096,7.242790096,7.161555246
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Difference|Population weighted,%,11.30118184,16.87958964,19.10940314,19.76365542,19.14800206,17.98672517,16.57139112,15.12026623,14.21664256,13.16826549,12.55665161,11.8268882,11.30510592,10.86253238,10.43145703,10.21997699,9.850097928
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Risk score,risk score,1.299258891,1.36401696,1.389550988,1.392050491,1.392050491,1.390800739,1.388926112,1.379194633,1.373123564,1.36401696,1.360981426,1.354910357,1.351874822,1.348839288,1.345803753,1.345803753,1.342768219
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Risk score|Land area weighted,risk score,1.312031754,1.371603513,1.39534463,1.398148045,1.398148045,1.396746337,1.394643776,1.385565643,1.379980791,1.371603513,1.368811086,1.363226234,1.360433808,1.357641382,1.354848955,1.354848955,1.352056529
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Drought intensity|Hazard|Risk score|Population weighted,risk score,1.79032951,1.796755335,1.807747582,1.826262966,1.827099575,1.819160465,1.80697427,1.803977383,1.805326816,1.806987523,1.808080815,1.809527344,1.810616002,1.811521203,1.812496009,1.81262473,1.813414738
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Exposure|Land area,km2,21890773.9,22976704.21,24648029.75,24992022.64,24992022.64,24820026.19,24562031.53,23913784.9,23538952.62,22976704.21,22789288.07,22414455.8,22227039.66,22039623.52,21852207.38,21852207.38,21664791.25
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Exposure|Land area|%,%,70.91274327,74.43049451,79.84456894,80.95889587,80.95889587,80.4017324,79.5659872,77.46606386,76.25183612,74.43049451,73.82338064,72.6091529,72.00203903,71.39492516,70.78781129,70.78781129,70.18069742
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Exposure|Population,people,1124803719,1353782315,1579711596,1765891504,1944565924,2120509425,2293766741,2427168361,2571219649,2680585439,2810811773,2900898808,3001900315,3070327611,3138619171,3185809966,3221354450
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Exposure|Population|%,%,83.88736522,89.45679069,93.79293113,94.47386559,94.7091733,94.71669041,94.64472151,93.54593857,92.99555289,92.07375966,91.9452635,91.43232654,91.30292463,91.13585629,90.98133107,91.12892668,90.94771485
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Absolute,events/yr,1.683663507,1.595089871,1.772911905,1.835783277,1.835783277,1.804347591,1.757194061,1.686581338,1.649984751,1.595089871,1.576791578,1.540194991,1.521896697,1.503598404,1.485300111,1.485300111,1.467001817
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Absolute|Land area weighted,events/yr,1.696321529,1.612358522,1.792696115,1.85638191,1.85638191,1.824539012,1.776774666,1.705167706,1.668044033,1.612358522,1.593796685,1.556673011,1.538111174,1.519549338,1.500987501,1.500987501,1.482425664
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Absolute|Population weighted,events/yr,2.023375561,2.029907234,2.258703032,2.346465704,2.360820768,2.335476624,2.290742714,2.212019362,2.174677159,2.111963306,2.095605032,2.053907085,2.035547953,2.015574795,1.995479829,1.998096009,1.976819295
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Difference,%,971.899115,894.3478096,1008.703447,1048.919179,1048.919179,1028.811313,998.6495136,953.2526664,929.6907237,894.3478096,882.5668382,859.0048955,847.2239241,835.4429528,823.6619814,823.6619814,811.8810101
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Difference|Land area weighted,%,969.4141279,897.4057165,1012.424227,1052.75574,1052.75574,1032.589983,1002.341348,956.6886874,932.975499,897.4057165,885.5491223,861.8359339,849.9793397,838.1227455,826.2661513,826.2661513,814.4095571
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Difference|Population weighted,%,991.7499711,991.5361509,1121.735996,1170.626669,1178.732464,1164.435324,1139.485426,1094.584858,1072.931505,1036.884944,1027.192981,1003.043142,992.1587793,980.2659082,968.3158314,969.2993217,956.7450928
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Risk score,risk score,3.517191172,3.596403475,3.739559665,3.765751703,3.765751703,3.752655684,3.733011655,3.677691082,3.645176039,3.596403475,3.580145953,3.54763091,3.531373389,3.515115868,3.498858346,3.498858346,3.482600825
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Risk score|Land area weighted,risk score,3.52721564,3.606048573,3.74715802,3.772663159,3.772663159,3.75991059,3.740781736,3.686271622,3.654182402,3.606048573,3.590003963,3.557914744,3.541870134,3.525825524,3.509780915,3.509780915,3.493736305
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p95 10 days|Hazard|Risk score|Population weighted,risk score,3.893232984,3.996080704,4.118767003,4.144002577,4.15441093,4.156892041,4.156193712,4.124426036,4.108829012,4.08042235,4.076590332,4.059695988,4.054983796,4.048826339,4.04275057,4.047244528,4.039925236
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Exposure|Land area,km2,23627976.52,24489412.24,25842787.38,26143036.93,26143036.93,25992912.15,25767724.99,25241443.72,24940631.13,24489412.24,24339005.94,24038193.35,23887787.06,23737380.76,23586974.47,23586974.47,23436568.17
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Exposure|Land area|%,%,76.5402192,79.33074503,83.71485426,84.6874795,84.6874795,84.20116688,83.47169794,81.76686791,80.79241876,79.33074503,78.84352045,77.8690713,77.38184673,76.89462215,76.40739757,76.40739757,75.920173
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Exposure|Population,people,1243030671,1444179258,1641995613,1827731688,2010421306,2192621850,2373857665,2528890750,2688663298,2819249764,2959196568,3064145982,3173966763,3250046007,3326090826,3373143222,3415107179
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Exposure|Population|%,%,92.70467915,95.45366188,97.49094823,97.79422791,97.91662884,97.94676472,97.94940942,97.47419675,97.24324018,96.84330195,96.79912072,96.58221035,96.5363329,96.4728849,96.41570198,96.48862553,96.41788842
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Absolute,events/yr,2.10382074,1.660046015,1.907301957,2.012447501,2.012447501,1.959874729,1.881015571,1.781722996,1.733052204,1.660046015,1.635710619,1.587039827,1.562704431,1.538369035,1.514033639,1.514033639,1.489698243
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Absolute|Land area weighted,events/yr,2.124068662,1.681806294,1.932993935,2.039798752,2.039798752,1.986396343,1.906292731,1.805422064,1.755975756,1.681806294,1.65708314,1.607636832,1.582913678,1.558190523,1.533467369,1.533467369,1.508744215
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Absolute|Population weighted,events/yr,2.626980279,2.250896483,2.590120767,2.741185759,2.757807837,2.702845616,2.612363113,2.488474452,2.431556274,2.338777484,2.31244919,2.250363504,2.221706977,2.191282963,2.160725803,2.163037436,2.131296154
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Difference,%,2142.200464,1632.994632,1893.309182,2003.263781,2003.263781,1948.286482,1865.820532,1761.330413,1709.996101,1632.994632,1607.327476,1555.993164,1530.326008,1504.658852,1478.991696,1478.991696,1453.324539
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Difference|Land area weighted,%,2139.95608,1640.408115,1902.515564,2013.14415,2013.14415,1957.829857,1874.858417,1769.653837,1717.955548,1640.408115,1614.55897,1562.860682,1537.011537,1511.162393,1485.313248,1485.313248,1459.464104
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Difference|Population weighted,%,2319.436009,1958.195114,2275.031305,2414.361676,2429.206222,2377.502207,2293.131879,2176.813382,2122.732702,2035.289899,2009.960278,1951.289163,1923.855289,1894.844515,1865.724179,1867.432267,1837.378769
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Risk score,risk score,3.652062297,3.726896432,3.850328834,3.872423528,3.872423528,3.861376181,3.84480516,3.797137091,3.769040828,3.726896432,3.712848301,3.684752037,3.670703905,3.656655774,3.642607642,3.642607642,3.62855951
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Risk score|Land area weighted,risk score,3.662048209,3.735054275,3.8558781,3.877334574,3.877334574,3.866606337,3.850513982,3.803864018,3.776340121,3.735054275,3.721292326,3.693768429,3.68000648,3.666244532,3.652482583,3.652482583,3.638720635
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Heatwave p99 5 days|Hazard|Risk score|Population weighted,risk score,4.117566767,4.171709114,4.248166979,4.263666676,4.271048018,4.274000361,4.275159258,4.257094788,4.248780353,4.232824771,4.231676774,4.222742043,4.221114669,4.218499916,4.215974733,4.219464152,4.216036482
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Exposure|Land area,km2,3797813.462,2934820.86,3228918.162,3280400.102,3280400.102,3254659.132,3216047.677,3102543.568,3035454.485,2934820.86,2901276.319,2834187.236,2800642.695,2767098.153,2733553.612,2733553.612,2700009.07
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Exposure|Land area|%,%,12.30259708,9.507027899,10.45972361,10.62649367,10.62649367,10.54310864,10.4180311,10.05034708,9.833019406,9.507027899,9.398364063,9.181036392,9.072372556,8.963708721,8.855044885,8.855044885,8.746381049
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Exposure|Population,people,260094796.9,244346436.7,305476774,347959645.6,386058589.5,422798399.3,457209806.3,475046287.3,498183071,508789627.4,531474990.9,540423920.5,555985729.2,565000167.1,573455756.1,583768737.5,585093359.3
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Exposure|Population|%,%,19.39775522,16.13714411,18.13721067,18.60015126,18.80280293,18.8717291,18.86525514,18.29941056,18.01822343,17.47060136,17.38522961,17.03035019,16.91032939,16.76908132,16.62315979,16.69786207,16.51879817
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Absolute,days/yr,8.413234297,8.268535766,8.31812191,8.326402152,8.326402152,8.322262031,8.31605185,8.296939531,8.285578025,8.268535766,8.262855013,8.251493507,8.245812754,8.240132001,8.234451248,8.234451248,8.228770495
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Absolute|Land area weighted,days/yr,8.63989965,8.488647055,8.540212633,8.548918807,8.548918807,8.54456572,8.53803609,8.518154862,8.506351739,8.488647055,8.482745493,8.47094237,8.465040809,8.459139247,8.453237686,8.453237686,8.447336125
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Absolute|Population weighted,days/yr,12.3879006,12.25229147,12.41125186,12.5042334,12.57980514,12.63983708,12.69476297,12.72433453,12.76793512,12.79308015,12.83841931,12.86204404,12.89594531,12.9202281,12.94430681,12.96859121,12.98175203
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Difference,%,34.43105996,30.2182867,32.42920049,33.17010372,33.17010372,32.79965211,32.24397469,31.36857556,30.90846001,30.2182867,29.98822892,29.52811338,29.2980556,29.06799783,28.83794006,28.83794006,28.60788228
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Difference|Land area weighted,%,31.72002921,27.66673344,29.70909953,30.4099094,30.4099094,30.05950446,29.53389706,28.72420916,28.30121888,27.66673344,27.4552383,27.03224801,26.82075287,26.60925773,26.39776258,26.39776258,26.18626744
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Difference|Population weighted,%,13.17148076,10.92843359,12.18743511,12.74592668,12.90748998,12.85003745,12.6858959,12.3457011,12.22417441,11.95884025,11.93907648,11.77511822,11.73551065,11.68027191,11.62313307,11.68216936,11.60903189
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Risk score,risk score,1.552508949,1.493614104,1.515843277,1.521977315,1.521977315,1.518910296,1.514309767,1.50559045,1.500799912,1.493614104,1.491218835,1.486428297,1.484033028,1.481637758,1.479242489,1.479242489,1.47684722
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Risk score|Land area weighted,risk score,1.582793771,1.52154925,1.544388877,1.550719625,1.550719625,1.547554251,1.54280619,1.533845658,1.528927095,1.52154925,1.519089969,1.514171405,1.511712124,1.509252842,1.50679356,1.50679356,1.504334279
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Very heavy precipitation days|Hazard|Risk score|Population weighted,risk score,2.127941402,2.061307835,2.101284336,2.121541006,2.133629235,2.140185583,2.144462598,2.142371999,2.145437657,2.143986791,2.149005849,2.14904258,2.152368478,2.154104871,2.155778877,2.159475325,2.159623224
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Exposure|Land area,km2,29796854.08,30264014.44,30549878.3,30558153.65,30558153.65,30554015.98,30547809.46,30440093.31,30369661.76,30264014.44,30228798.66,30158367.12,30123151.34,30087935.57,30052719.8,30052719.8,30017504.02
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Exposure|Land area|%,%,96.52361643,98.0369308,98.9629552,98.98976228,98.98976228,98.97635874,98.95625343,98.60731883,98.37916362,98.0369308,97.92285319,97.69469797,97.58062037,97.46654276,97.35246515,97.35246515,97.23838754
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Exposure|Population,people,1280064690,1484328921,1677077914,1861306242,2045287477,2229915589,2414471967,2574303046,2737250649,2872037599,3013857082,3121685814,3233151011,3310537790,3387944843,3434575956,3477595338
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Exposure|Population|%,%,95.46665993,98.12408623,99.57390557,99.60167288,99.61476939,99.62098878,99.62522468,99.23042236,99.00054146,98.66032845,98.58713635,98.39806247,98.33642431,98.26963566,98.20870726,98.24638888,98.18210139
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Hazard|Absolute,CDD/yr,2826.959414,2693.072661,2727.859645,2742.705429,2742.705429,2735.282537,2724.148199,2710.175218,2703.334195,2693.072661,2689.65215,2682.811127,2679.390616,2675.970104,2672.549593,2672.549593,2669.129081
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Hazard|Absolute|Land area weighted,CDD/yr,2833.562365,2699.823202,2734.575789,2749.417952,2749.417952,2741.99687,2730.865248,2716.905393,2710.072516,2699.823202,2696.406763,2689.573887,2686.157448,2682.74101,2679.324572,2679.324572,2675.908133
AIM/Hub-Global 2.4,LIFE-TP-v2,Africa,RIME|Cooling degree days (18.3C)|Hazard|Absolute|Population weighted,CDD/yr,2449.709117,2342.450614,2388.19572,2417.218859,2432.78338,2441.156232,2446.082917,2447.157928,2454.707397,2458.464569,2468.419593,2474.381676,2483.450116,2490.887138,2498.318427,2507.054537,2512.657905
